Contrast,Dissimilarity,Homogeneity,Energy,Correlation,ASM,Label
[[1.63655113 2.53687553 1.79406475 2.84608738]],[[0.67549709 0.85768257 0.67915667 0.91220208]],[[0.74106978 0.6949989  0.74581676 0.68631291]],[[0.17605441 0.16245036 0.17719735 0.16120031]],[[0.95038895 0.92313789 0.945924   0.91376221]],[[0.03099515 0.02639012 0.0313989  0.02598554]],corrosion
[[0.68412263 1.21672761 0.86547264 1.20525885]],[[0.29599586 0.49915083 0.42726368 0.50634378]],[[0.87734233 0.79971147 0.82012879 0.79572704]],[[0.26602963 0.2410389  0.24583085 0.24031027]],[[0.98514126 0.97362802 0.98125389 0.97386868]],[[0.07077177 0.05809975 0.06043281 0.05774902]],corrosion
[[0.88453055 2.76835165 1.88373945 2.07248751]],[[0.45536016 1.00947053 0.84261029 0.89554446]],[[0.80647651 0.63247608 0.66623095 0.64908647]],[[0.19364494 0.14495027 0.15246897 0.14843883]],[[0.96419744 0.88795665 0.92376934 0.91612234]],[[0.03749836 0.02101058 0.02324679 0.02203408]],corrosion
[[1.504196   2.55795348 1.95164441 2.82146929]],[[0.74684803 1.0233814  0.86378314 1.08448507]],[[0.69384817 0.61688798 0.66203319 0.60172212]],[[0.19360602 0.1707537  0.18389654 0.16711778]],[[0.8818114  0.79889168 0.84653647 0.77815865]],[[0.03748329 0.02915683 0.03381794 0.02792835]],corrosion
[[1.06329408 1.72444973 1.6112973  2.2944355 ]],[[0.4670282  0.59995024 0.57298794 0.68173442]],[[0.80285743 0.75829557 0.77071436 0.74411683]],[[0.2061404  0.19043452 0.19534648 0.18766212]],[[0.97189694 0.95438035 0.9573831  0.93930129]],[[0.04249386 0.03626531 0.03816025 0.03521707]],corrosion
[[1.92548435 3.44912035 2.695381   3.82397041]],[[0.74781918 1.00773691 0.81326718 1.03520592]],[[0.71667605 0.66028422 0.71563566 0.65557346]],[[0.19139497 0.18015261 0.19410772 0.17968738]],[[0.95551673 0.92035164 0.93771364 0.91169042]],[[0.03663204 0.03245496 0.03767781 0.03228755]],corrosion
[[1.30499382 2.51509986 1.67402597 1.50196519]],[[0.69313151 1.0085225  0.79282717 0.73858988]],[[0.70938965 0.62333909 0.68179926 0.69680618]],[[0.21127091 0.18506031 0.20212828 0.20622964]],[[0.89207046 0.7922542  0.86162681 0.87593647]],[[0.0446354  0.03424732 0.04085584 0.04253066]],corrosion
[[0.22318385 0.38534765 0.29241865 0.40643569]],[[0.15340785 0.23833185 0.18612389 0.2281393 ]],[[0.92948775 0.89309379 0.91573414 0.90016528]],[[0.32348754 0.30930045 0.31803783 0.31308614]],[[0.98858856 0.98029433 0.98504538 0.97921632]],[[0.10464419 0.09566677 0.10114806 0.09802293]],corrosion
[[0.44386038 0.50663961 0.38121081 0.45664295]],[[0.2566803  0.30276024 0.23678278 0.29100731]],[[0.88696192 0.8658594  0.89325349 0.86923518]],[[0.28427599 0.27687939 0.28602506 0.27760506]],[[0.98136895 0.97872792 0.98399172 0.98082448]],[[0.08081284 0.0766622  0.08181034 0.07706457]],corrosion
[[0.98485029 1.62681399 0.99690878 1.5226886 ]],[[0.54337872 0.74845373 0.56058793 0.71234412]],[[0.7682734  0.7014785  0.75849218 0.71081669]],[[0.20506387 0.18311337 0.2006785  0.18586618]],[[0.94925974 0.91623375 0.94865126 0.92159612]],[[0.04205119 0.03353051 0.04027186 0.03454624]],corrosion
[[1.31899406 2.36333066 1.58646359 2.19279786]],[[0.55948795 0.81874163 0.64856647 0.78985274]],[[0.78236331 0.70986944 0.75261684 0.71475252]],[[0.21195315 0.18930461 0.20271727 0.1904178 ]],[[0.9551695  0.91915241 0.94574593 0.92498322]],[[0.04492414 0.03583623 0.04109429 0.03625894]],corrosion
[[0.79529052 1.55932839 1.05681514 1.38590436]],[[0.42930405 0.67061081 0.5414291  0.63522683]],[[0.81692485 0.73864665 0.77525344 0.74643674]],[[0.2122612  0.19037833 0.19941961 0.19210032]],[[0.97688858 0.95468676 0.96928456 0.95972594]],[[0.04505482 0.03624391 0.03976818 0.03690253]],corrosion
[[0.6391248  1.51151553 1.28312858 1.62521391]],[[0.36079375 0.62043388 0.55980676 0.64574856]],[[0.84115876 0.76223966 0.78295354 0.75748298]],[[0.23933701 0.21722413 0.22526101 0.21642871]],[[0.97514803 0.94121265 0.95010259 0.93679129]],[[0.0572822  0.04718632 0.05074252 0.04684138]],corrosion
[[0.34928587 0.45705193 0.29663079 0.44520394]],[[0.30493314 0.37370609 0.2709656  0.36954191]],[[0.85191967 0.82133333 0.86704851 0.82268473]],[[0.24236909 0.22821579 0.24959879 0.22875195]],[[0.97472877 0.96693117 0.97854178 0.9677883 ]],[[0.05874278 0.05208245 0.06229956 0.05232745]],corrosion
[[2.17889318 3.15446006 2.5999207  3.19316961]],[[0.87874468 1.10215739 0.98374306 1.12876647]],[[0.66743571 0.6052757  0.63419233 0.59452039]],[[0.19364081 0.18121607 0.18916812 0.17787782]],[[0.89615195 0.84987876 0.87640784 0.84806359]],[[0.03749676 0.03283926 0.03578458 0.03164052]],corrosion
[[5.30247384 7.76426126 5.44359009 7.83978828]],[[1.67288975 2.02771363 1.66463516 2.03481287]],[[0.46176207 0.41394469 0.46444602 0.41361515]],[[0.12706717 0.12087704 0.1265171  0.12079853]],[[0.83008287 0.7507596  0.8252865  0.74833582]],[[0.01614607 0.01461126 0.01600658 0.01459228]],corrosion
