Contrast,Dissimilarity,Homogeneity,Energy,Correlation,ASM,Label
[[0.2252471  0.27765278 0.21487192 0.28042158]],[[0.21877606 0.26475013 0.20896753 0.26752012]],[[0.8912409  0.8688504  0.89609192 0.86747793]],[[0.32875158 0.31474611 0.33214839 0.31398072]],[[0.97515133 0.96937931 0.97630297 0.96907392]],[[0.1080776  0.09906511 0.11032255 0.09858389]],corrosion
[[0.17936923 0.3165843  0.2351496  0.33268079]],[[0.16226114 0.24181625 0.1839132  0.25211663]],[[0.92055967 0.88605323 0.91273147 0.88143268]],[[0.39338583 0.37797939 0.3930035  0.37650233]],[[0.97324069 0.95279587 0.96493964 0.95039635]],[[0.15475241 0.14286842 0.15445175 0.14175401]],corrosion
[[0.91666833 2.06992195 1.5094697  2.05487292]],[[0.50227938 0.85203122 0.72378389 0.87024215]],[[0.78343942 0.66822452 0.70209703 0.6591392 ]],[[0.1872912  0.15373425 0.16126974 0.15173134]],[[0.97705213 0.9482231  0.96222095 0.94862723]],[[0.03507799 0.02363422 0.02600793 0.0230224 ]],corrosion
[[1.64371032 2.26632254 1.62132937 2.26444914]],[[0.47073413 0.56016821 0.46267857 0.55825494]],[[0.83710474 0.81538088 0.83972225 0.81648498]],[[0.41225225 0.40295105 0.41054142 0.40338659]],[[0.95461308 0.93752502 0.95520999 0.93757796]],[[0.16995192 0.16236955 0.16854425 0.16272074]],corrosion
[[0.90626308 1.768632   0.90995946 1.10274389]],[[0.44902624 0.6539768  0.45395946 0.52220539]],[[0.81391498 0.7575958  0.81210295 0.78742233]],[[0.19456628 0.17889382 0.19456082 0.18631571]],[[0.97025687 0.94193575 0.97013105 0.96379656]],[[0.03785604 0.032003   0.03785391 0.03471354]],corrosion
[[1.02205589 1.78379028 1.26290014 1.67736767]],[[0.45451098 0.63204694 0.52265488 0.61730719]],[[0.81943957 0.7715461  0.79815714 0.77319398]],[[0.38401038 0.36807251 0.37542069 0.36957327]],[[0.96793137 0.94405551 0.96034784 0.94740443]],[[0.14746397 0.13547737 0.1409407  0.13658441]],corrosion
[[1.24925552 1.70699835 1.45945398 2.44696477]],[[0.72200867 0.89140313 0.81053357 1.06613156]],[[0.68813592 0.62950111 0.65502334 0.58736045]],[[0.17434166 0.15959429 0.16608375 0.14966681]],[[0.9266875  0.89980893 0.91434564 0.85637754]],[[0.03039502 0.02547034 0.02758381 0.02240015]],corrosion
[[0.44339806 0.76491905 0.61404561 0.78385999]],[[0.34567901 0.49529228 0.42271115 0.49936497]],[[0.83674837 0.77792549 0.80696042 0.77714741]],[[0.27392273 0.24867436 0.26178019 0.24851985]],[[0.94352857 0.90253997 0.92180591 0.90013014]],[[0.07503366 0.06183894 0.06852887 0.06176212]],corrosion
[[1.10529978 2.49294593 1.76077479 2.1228568 ]],[[0.46213025 0.75328724 0.59138415 0.70888454]],[[0.81618362 0.73738955 0.78223915 0.74390692]],[[0.24894809 0.22272092 0.23451699 0.2261649 ]],[[0.97330458 0.93973766 0.95746636 0.94858657]],[[0.06197515 0.04960461 0.05499822 0.05115056]],corrosion
[[2.85291297 4.1108969  3.50547142 4.54355946]],[[0.94797411 1.16206772 1.03566927 1.21512632]],[[0.67534571 0.63356582 0.6653273  0.62930029]],[[0.22076307 0.21257966 0.22221292 0.21388124]],[[0.93419643 0.90526834 0.91928888 0.89536446]],[[0.04873633 0.04519011 0.04937858 0.04574518]],corrosion
[[0.62360736 0.73141011 0.63942187 0.7470197 ]],[[0.5040597  0.5643539  0.50935903 0.57042989]],[[0.75969226 0.73418915 0.75809518 0.73200332]],[[0.35576928 0.34364652 0.35509396 0.34278032]],[[0.6673668  0.6099199  0.659329   0.60159569]],[[0.12657178 0.11809293 0.12609172 0.11749835]],corrosion
[[2.62360895 3.90306409 3.11088911 4.27057432]],[[1.15358382 1.42869175 1.26205794 1.49584904]],[[0.55438113 0.49379386 0.52975355 0.48316734]],[[0.15355021 0.14218948 0.14951725 0.13968664]],[[0.83196375 0.75059459 0.80134499 0.72711182]],[[0.02357767 0.02021785 0.02235541 0.01951236]],corrosion
[[0.92238006 1.60854658 1.11337855 1.43195062]],[[0.59744889 0.83351685 0.67681761 0.79300085]],[[0.73158724 0.65172867 0.70201441 0.66185457]],[[0.17727962 0.15595038 0.16907656 0.15839385]],[[0.9509319  0.91440298 0.94075661 0.92379768]],[[0.03142806 0.02432052 0.02858688 0.02508861]],corrosion
[[0.71355125 1.21302277 0.80767306 1.24828921]],[[0.4821252  0.64244454 0.50441427 0.6524079 ]],[[0.78118247 0.7289098  0.7758366  0.7255745 ]],[[0.19048927 0.17459344 0.19065102 0.17405328]],[[0.96974215 0.94844284 0.96568953 0.94695159]],[[0.03628616 0.03048287 0.03634781 0.03029454]],corrosion
[[0.40562345 1.20807193 0.96155837 1.13556444]],[[0.24037755 0.45326673 0.37420369 0.44381618]],[[0.89303679 0.82838893 0.85709572 0.82983002]],[[0.33631151 0.31421697 0.32768975 0.31446253]],[[0.97411035 0.92317329 0.93870337 0.92778742]],[[0.11310543 0.0987323  0.10738057 0.09888668]],corrosion
[[0.51461599 0.97961727 0.64858787 0.94622316]],[[0.2629441  0.41753125 0.32466004 0.40577904]],[[0.88971035 0.83834769 0.86607684 0.84204253]],[[0.41482369 0.39853943 0.40696012 0.40041825]],[[0.98012483 0.96217983 0.97492289 0.96347434]],[[0.17207869 0.15883367 0.16561654 0.16033477]],corrosion
[[1.59462011 2.25044113 1.26496096 2.31159688]],[[0.81080181 0.98042337 0.70785886 0.99430061]],[[0.6684286  0.62414764 0.69931624 0.62130603]],[[0.19996093 0.18908411 0.20867696 0.18886853]],[[0.92380184 0.8923965  0.93953392 0.88947144]],[[0.03998438 0.0357528  0.04354607 0.03567132]],corrosion
[[2.46871881 3.61108324 2.81951717 3.83708192]],[[0.86405558 1.05242672 0.85373116 1.06831725]],[[0.68874246 0.65002385 0.71156962 0.65200861]],[[0.21815992 0.20513216 0.22766956 0.20614373]],[[0.8416851  0.76783769 0.81874189 0.75329632]],[[0.04759375 0.0420792  0.05183343 0.04249524]],corrosion
[[4.4590509  7.24003863 3.51922953 5.55688751]],[[1.08376915 1.44046205 0.99739117 1.250301  ]],[[0.66919971 0.61393295 0.67485674 0.63239785]],[[0.2063717  0.19410924 0.20534471 0.19724516]],[[0.91979494 0.86962692 0.93671249 0.89993581]],[[0.04258928 0.0376784  0.04216645 0.03890565]],corrosion
[[5.99302464 7.9278093  5.45345596 8.88235294]],[[1.77998808 2.08517823 1.6978022  2.21994885]],[[0.43626194 0.39035813 0.44982234 0.37398387]],[[0.11759299 0.11079723 0.11872454 0.1086631 ]],[[0.70917798 0.61366    0.73488944 0.56714321]],[[0.01382811 0.01227603 0.01409552 0.01180767]],corrosion
[[0.30679617 0.46275908 0.28758472 0.48723144]],[[0.24769462 0.32779965 0.23680491 0.33845183]],[[0.8818535  0.84893534 0.88650535 0.8448713 ]],[[0.40714639 0.39750347 0.4089077  0.39575542]],[[0.98441066 0.97647747 0.98539159 0.9752345 ]],[[0.16576818 0.15800901 0.16720551 0.15662235]],corrosion
[[1.72933105 2.84434379 2.21868393 2.99571767]],[[0.77618859 1.04032457 0.88348309 1.0434679 ]],[[0.69276942 0.62614907 0.6699798  0.63213101]],[[0.15644466 0.14183838 0.15230787 0.14328309]],[[0.9593989  0.93312874 0.94783984 0.92959554]],[[0.02447493 0.02011813 0.02319769 0.02053004]],corrosion
[[1.00239236 2.1170633  1.5625408  2.17542479]],[[0.54773581 0.88399579 0.7192314  0.89371544]],[[0.76659592 0.66608523 0.71710377 0.66475881]],[[0.187275   0.16543376 0.17903805 0.16494921]],[[0.9706119  0.93795842 0.95420198 0.93624653]],[[0.03507193 0.02736833 0.03205462 0.02720824]],corrosion
[[0.44394084 0.83677711 0.60732984 0.80180648]],[[0.32208174 0.51169018 0.40570939 0.49966029]],[[0.85057872 0.77380497 0.81537023 0.777462  ]],[[0.22134675 0.19355674 0.20674036 0.19482671]],[[0.98086466 0.96381616 0.97376379 0.9653879 ]],[[0.04899439 0.03746421 0.04274158 0.03795745]],corrosion
[[0.98529705 1.38397303 0.97193963 1.33711115]],[[0.51217877 0.62341872 0.51159955 0.61515439]],[[0.78324233 0.74752928 0.78237055 0.74937076]],[[0.3127764  0.29524268 0.31120675 0.29639092]],[[0.89896835 0.85811519 0.90039967 0.86292021]],[[0.09782908 0.08716824 0.09684964 0.08784758]],corrosion
[[0.48654875 1.01029214 0.84845575 0.96058192]],[[0.37730162 0.62300754 0.55263488 0.6085686 ]],[[0.82147795 0.72500963 0.75159611 0.72898858]],[[0.21293418 0.17859117 0.18693523 0.17957865]],[[0.97047634 0.93870504 0.94851434 0.94171961]],[[0.04534096 0.0318948  0.03494478 0.03224849]],corrosion
[[1.33971521 1.86229646 1.30947053 1.95054945]],[[0.8053528  0.97391113 0.7788012  0.99779418]],[[0.64812466 0.59562653 0.65988054 0.58929411]],[[0.1958974  0.18219928 0.19982184 0.1807679 ]],[[0.83591057 0.77145144 0.83926824 0.76066297]],[[0.03837579 0.03319658 0.03992877 0.03267703]],corrosion
[[2.87846987 5.00155978 2.65022689 5.11990321]],[[0.81602214 1.16877637 0.69886952 1.18457416]],[[0.7358012  0.66220434 0.77438858 0.66039473]],[[0.23842261 0.21090845 0.23274621 0.21062945]],[[0.93561671 0.88833136 0.94058344 0.88568802]],[[0.05684534 0.04448237 0.0541708  0.04436477]],corrosion
[[0.51607205 1.04349099 0.74742463 0.8963133 ]],[[0.28744531 0.46104562 0.37697021 0.4321875 ]],[[0.87473163 0.81460198 0.84165398 0.82082663]],[[0.22914579 0.2072949  0.21567735 0.20882239]],[[0.98621111 0.9721191  0.98003405 0.97605476]],[[0.05250779 0.04297117 0.04651672 0.04360679]],corrosion
[[0.93167227 1.30146472 0.92435065 1.24433657]],[[0.60524083 0.74659564 0.61100754 0.7252133 ]],[[0.72866932 0.67909098 0.72490075 0.68599096]],[[0.19420946 0.18001819 0.1925087  0.18125829]],[[0.95821465 0.94162824 0.95852855 0.94420051]],[[0.03771731 0.03240655 0.0370596  0.03285457]],corrosion
[[0.6953314  1.11867013 0.94461166 1.33775123]],[[0.35760145 0.46429514 0.41435434 0.52425176]],[[0.84987655 0.81834416 0.83490442 0.79914413]],[[0.20212284 0.19221658 0.19768085 0.18602883]],[[0.97949954 0.96702006 0.97215153 0.96056018]],[[0.04085364 0.03694722 0.03907772 0.03460672]],corrosion
[[0.5036693  0.74290652 0.46215617 0.79863979]],[[0.35440447 0.4648513  0.34099085 0.47145318]],[[0.8367351  0.79278488 0.84099143 0.79356568]],[[0.23090451 0.21289147 0.23238277 0.21465602]],[[0.97458494 0.96252812 0.97670424 0.95971773]],[[0.05331689 0.04532278 0.05400175 0.04607721]],corrosion
[[1.66607484 2.20211601 1.23769329 2.30051008]],[[0.66827389 0.80849317 0.59640739 0.8132213 ]],[[0.73791911 0.6972983  0.75611599 0.69836896]],[[0.19597168 0.18670143 0.20119873 0.1863953 ]],[[0.9566405  0.94264615 0.96778714 0.94008932]],[[0.0384049  0.03485742 0.04048093 0.03474321]],corrosion
[[2.02575758 2.54381959 1.4956631  2.33876071]],[[0.98337321 1.10806697 0.80694303 1.06266522]],[[0.60253684 0.57063022 0.65930218 0.58200477]],[[0.26209301 0.25412455 0.28022206 0.25713043]],[[0.5657094  0.45515682 0.67948729 0.49911082]],[[0.06869275 0.06457929 0.07852441 0.06611606]],corrosion
[[1.69501472 2.71770967 1.36222089 1.97259123]],[[0.85483807 1.12179898 0.76485247 0.94018086]],[[0.64807801 0.57788768 0.67384118 0.62167524]],[[0.14587331 0.13140093 0.1523956  0.14020738]],[[0.94133173 0.90605559 0.95289792 0.93183613]],[[0.02127902 0.0172662  0.02322442 0.01965811]],corrosion
[[1.00032277 1.50029189 1.10875784 1.85565711]],[[0.67569444 0.85834057 0.71709444 0.95982163]],[[0.69406787 0.6326285  0.67969736 0.60464894]],[[0.23851706 0.22097153 0.23413645 0.21434813]],[[0.92358841 0.88498283 0.91501722 0.85776424]],[[0.05689039 0.04882842 0.05481988 0.04594512]],corrosion
[[1.30553879 2.59560246 1.88039386 2.26437132]],[[0.63302904 0.94105516 0.77827948 0.87318237]],[[0.74165961 0.65845061 0.70097691 0.67443596]],[[0.19807162 0.17213879 0.18502392 0.17653496]],[[0.92371389 0.84837048 0.89023955 0.86772542]],[[0.03923237 0.02963176 0.03423385 0.03116459]],corrosion
[[0.90848143 2.15462088 1.73804272 2.09867975]],[[0.41066328 0.74757688 0.659692   0.73112361]],[[0.83566799 0.73808797 0.75885557 0.74268565]],[[0.25102057 0.22555114 0.22968492 0.22767178]],[[0.95597707 0.89532975 0.91545669 0.89803687]],[[0.06301132 0.05087332 0.05275516 0.05183444]],corrosion
[[0.34947555 0.5347986  0.34377796 0.56756292]],[[0.2584432  0.34708398 0.25157829 0.36554397]],[[0.87841849 0.84272164 0.88249893 0.83485198]],[[0.30295585 0.28584366 0.30411365 0.28148916]],[[0.96722616 0.9494653  0.96791062 0.946357  ]],[[0.09178225 0.0817066  0.09248511 0.07923614]],corrosion
[[0.1486198  0.22167549 0.15646188 0.20911026]],[[0.13848819 0.19885255 0.14779533 0.18841867]],[[0.93173277 0.90275195 0.9269387  0.90775357]],[[0.36924455 0.348859   0.3647551  0.35255255]],[[0.97866106 0.96815605 0.9775216  0.96996053]],[[0.13634154 0.1217026  0.13304628 0.1242933 ]],corrosion
[[1.45354289 2.09392159 1.52370279 2.12947877]],[[0.83210248 1.00174342 0.84793808 1.01523791]],[[0.64277836 0.59757193 0.63952788 0.59285493]],[[0.15563913 0.14561525 0.15536903 0.14462272]],[[0.92337498 0.88973005 0.91973819 0.88785587]],[[0.02422354 0.0212038  0.02413954 0.02091573]],corrosion
[[0.29585512 0.43096093 0.33830382 0.48487005]],[[0.25265393 0.34155639 0.28015746 0.35985627]],[[0.87790454 0.83783573 0.86558918 0.83204925]],[[0.31072816 0.28779009 0.3029989  0.28722345]],[[0.97038452 0.95684668 0.96614837 0.95144965]],[[0.09655199 0.08282313 0.09180833 0.08249731]],corrosion
[[0.55013761 0.8615545  0.42839161 0.78948424]],[[0.27236648 0.40687415 0.26407592 0.373105  ]],[[0.8861228  0.83292501 0.88262074 0.8461873 ]],[[0.28676252 0.26299363 0.28557832 0.26917479]],[[0.9603685  0.93780859 0.96911024 0.94297922]],[[0.08223274 0.06916565 0.08155498 0.07245507]],corrosion
[[0.53855789 1.25053668 0.96905265 1.25476869]],[[0.26927894 0.48921949 0.41910573 0.4887821 ]],[[0.88788097 0.81722836 0.83700717 0.81783094]],[[0.24535012 0.22156179 0.22819728 0.22167474]],[[0.97468826 0.94124911 0.95446028 0.9410503 ]],[[0.06019668 0.04908963 0.052074   0.04913969]],nocorrosion
[[0.34199444 0.48170725 0.34217582 0.49231723]],[[0.27790503 0.3595764  0.28508953 0.36225278]],[[0.86695672 0.83139445 0.86291646 0.83072359]],[[0.24128816 0.22747056 0.23982032 0.22756775]],[[0.98736686 0.98219569 0.98735329 0.98180372]],[[0.05821998 0.05174285 0.05751379 0.05178708]],nocorrosion
[[1.26790226 2.11478656 1.84146637 2.36361409]],[[0.61237822 0.84394265 0.78475519 0.88703494]],[[0.75070154 0.6833714  0.69834384 0.67617038]],[[0.17026628 0.15200491 0.15584337 0.15044736]],[[0.95321244 0.9219652  0.932058   0.91278385]],[[0.02899061 0.02310549 0.02428716 0.02263441]],nocorrosion
[[1.91192825 6.93984225 5.72921317 5.98382447]],[[0.72870952 1.537496   1.34907127 1.43277546]],[[0.72615205 0.57767891 0.61336931 0.58923008]],[[0.15221459 0.12150753 0.12866345 0.12373768]],[[0.95540911 0.83812901 0.86612259 0.86046662]],[[0.02316928 0.01476408 0.01655428 0.01531101]],nocorrosion
[[0.19299633 0.3590917  0.20068744 0.28255596]],[[0.12185556 0.19271825 0.12692219 0.16060377]],[[0.94467197 0.91601316 0.94212247 0.92867368]],[[0.27199581 0.25981491 0.26994145 0.26445106]],[[0.99418901 0.9891901  0.99395817 0.99149406]],[[0.07398172 0.06750379 0.07286839 0.06993436]],nocorrosion
[[1.10769995 2.6977023  2.39843128 3.16205794]],[[0.44532538 0.87716284 0.80578118 0.94727273]],[[0.82879164 0.69579065 0.71481589 0.68358658]],[[0.23056754 0.18526709 0.18987529 0.18187171]],[[0.94427887 0.86454259 0.87947322 0.84121924]],[[0.05316139 0.03432389 0.03605263 0.03307732]],nocorrosion
[[0.8593254  1.38360969 0.69849206 1.23066805]],[[0.21611111 0.32740753 0.25396825 0.33916614]],[[0.92727412 0.89412821 0.90526351 0.88752554]],[[0.59136055 0.5845352  0.59193944 0.58530325]],[[0.97855561 0.96554267 0.98256919 0.96935152]],[[0.3497073  0.3416814  0.35039229 0.34257989]],nocorrosion
[[1.04402576 2.02440905 1.29442144 1.97976989]],[[0.37540875 0.62137001 0.48350849 0.57803877]],[[0.86171955 0.78996634 0.82205591 0.80899416]],[[0.30035903 0.28053072 0.29051299 0.28447369]],[[0.95522946 0.91318768 0.94470938 0.91510195]],[[0.09021554 0.07869749 0.0843978  0.08092528]],nocorrosion
[[0.35355146 1.17979842 0.80723329 0.67509179]],[[0.19269    0.35667405 0.28907223 0.27511676]],[[0.91716359 0.87219885 0.8903065  0.89174855]],[[0.40309867 0.3894775  0.3952351  0.39476143]],[[0.98354133 0.94521963 0.96248451 0.96865597]],[[0.16248854 0.15169272 0.15621079 0.15583658]],nocorrosion
[[0.13844917 0.18770549 0.10555513 0.20637763]],[[0.12535297 0.1462183  0.08254684 0.16200589]],[[0.93863132 0.93084655 0.96099507 0.92329151]],[[0.29114304 0.28764623 0.30417669 0.28549414]],[[0.99343659 0.99111323 0.9950039  0.9902181 ]],[[0.08476427 0.08274035 0.09252346 0.08150691]],nocorrosion
[[1.78551483 2.65700879 2.06921739 2.9657233 ]],[[0.56017104 0.7589937  0.65311007 0.79797824]],[[0.80646844 0.75111171 0.77396075 0.74590042]],[[0.25058743 0.2314297  0.23723417 0.2302565 ]],[[0.90639206 0.86084544 0.89160517 0.84467745]],[[0.06279406 0.0535597  0.05628005 0.05301805]],nocorrosion
[[1.48442424 2.92002888 2.12407592 2.44288923]],[[0.66367516 1.04592123 0.89702298 0.95684607]],[[0.73890869 0.62907096 0.65753169 0.64554542]],[[0.24448067 0.21867028 0.22284427 0.22119342]],[[0.929318   0.86069612 0.89858536 0.88350146]],[[0.0597708  0.04781669 0.04965957 0.04892653]],nocorrosion
[[1.30738095 2.28063217 1.31303571 2.18724091]],[[0.40718254 0.80845424 0.65144841 0.77987484]],[[0.85385684 0.69733443 0.72867671 0.70716037]],[[0.24738962 0.18902308 0.19717951 0.19204969]],[[0.93763103 0.89033423 0.93690517 0.89486547]],[[0.06120162 0.03572972 0.03887976 0.03688308]],nocorrosion
[[2.61727584 5.58403395 5.17344476 6.66324365]],[[0.88045469 1.40115301 1.33576002 1.54513972]],[[0.69164623 0.58025772 0.59325784 0.56140374]],[[0.14545466 0.12033939 0.12293632 0.11666915]],[[0.92856132 0.84769708 0.85885851 0.81824245]],[[0.02115706 0.01448157 0.01511334 0.01361169]],nocorrosion
[[0.69814633 1.47390611 0.69902514 0.84510674]],[[0.27270999 0.41882845 0.29304925 0.34856662]],[[0.89633106 0.85998513 0.8856138  0.86472787]],[[0.40744096 0.39571613 0.40321517 0.39609743]],[[0.97705224 0.9514656  0.97697523 0.97217631]],[[0.16600814 0.15659125 0.16258247 0.15689317]],nocorrosion
[[0.31629073 0.40851105 0.63270677 1.06108924]],[[0.11627145 0.13762589 0.13272605 0.18026808]],[[0.95691893 0.95066736 0.95854832 0.94950367]],[[0.87917107 0.87693992 0.87610301 0.87616511]],[[0.98582816 0.98173175 0.97166397 0.95254875]],[[0.77294177 0.76902363 0.76755649 0.7676653 ]],nocorrosion
[[1.01325848 1.73123986 1.48467066 1.80369695]],[[0.4981685  0.67446378 0.59369261 0.67802856]],[[0.79613343 0.74724214 0.77472386 0.74971425]],[[0.29690413 0.28328696 0.29206537 0.28452019]],[[0.94719849 0.90976506 0.92266852 0.90598646]],[[0.08815206 0.0802515  0.08530218 0.08095174]],nocorrosion
[[0.40412844 0.5903288  0.43636819 0.84195209]],[[0.27184042 0.27652447 0.28874861 0.45220758]],[[0.87669588 0.88726778 0.86961995 0.80987193]],[[0.26158302 0.26380795 0.26014885 0.24877325]],[[0.99200613 0.98832384 0.99136691 0.98334625]],[[0.06842567 0.06959463 0.06767743 0.06188813]],nocorrosion
[[1.38787843 2.73211278 1.86883117 2.5368573 ]],[[0.41484185 0.73612337 0.58287712 0.71308254]],[[0.85820374 0.76475111 0.79872271 0.76798029]],[[0.31330903 0.28273062 0.29136786 0.28409901]],[[0.94220573 0.88654575 0.92233437 0.89468924]],[[0.09816255 0.0799366  0.08489523 0.08071225]],nocorrosion
[[0.53920778 0.90471908 0.47361875 0.82944994]],[[0.20548777 0.2810618  0.18231255 0.27841984]],[[0.9211213  0.89921693 0.92783886 0.897869  ]],[[0.33196568 0.32295481 0.333374   0.32273122]],[[0.97911969 0.96497856 0.98166648 0.9678922 ]],[[0.11020121 0.10429981 0.11113822 0.10415544]],nocorrosion
[[0.69316996 1.28604989 0.88258999 1.3788694 ]],[[0.26269765 0.44326756 0.35689999 0.45754748]],[[0.90023901 0.83893476 0.86247964 0.83597663]],[[0.27372453 0.25480163 0.26297058 0.2537886 ]],[[0.98688767 0.97569069 0.98332709 0.97394476]],[[0.07492512 0.06492387 0.06915353 0.06440865]],nocorrosion
[[0.47509921 0.84139828 0.71732143 0.99406091]],[[0.25684524 0.33478157 0.32998016 0.40286193]],[[0.88969683 0.86715912 0.86485564 0.84090959]],[[0.31898585 0.30954375 0.31102335 0.30621091]],[[0.99046916 0.98307648 0.9855748  0.98000531]],[[0.10175197 0.09581733 0.09673552 0.09376512]],nocorrosion
[[0.6909324  1.43065437 0.90174969 1.37453554]],[[0.37768156 0.59768125 0.45345498 0.58417252]],[[0.84084927 0.77482003 0.81505151 0.7783893 ]],[[0.22235348 0.20688166 0.21597348 0.20744128]],[[0.9762852  0.95089812 0.96904953 0.95282413]],[[0.04944107 0.04280002 0.04664455 0.04303188]],nocorrosion
[[0.18101116 0.44839859 0.34635641 0.47247472]],[[0.11527106 0.20246796 0.1680253  0.20102844]],[[0.94849523 0.91995577 0.93171391 0.92222595]],[[0.7369259  0.73417578 0.73624208 0.7343696 ]],[[0.99351967 0.98397054 0.98760664 0.98310986]],[[0.54305979 0.53901408 0.5420524  0.53929871]],nocorrosion
[[0.36577006 0.84041645 0.59439269 0.87853418]],[[0.14640524 0.25912154 0.19313518 0.26316673]],[[0.94067689 0.903805   0.92667129 0.90404607]],[[0.37719882 0.36880472 0.37391884 0.36859081]],[[0.99175352 0.98103813 0.98659075 0.98017795]],[[0.14227895 0.13601692 0.1398153  0.13585919]],nocorrosion
[[0.13222804 0.29664074 0.2410357  0.28416641]],[[0.09494156 0.19897181 0.1775059  0.19078224]],[[0.95573039 0.90809196 0.91640759 0.91199068]],[[0.33582016 0.31368163 0.31708434 0.31524779]],[[0.98950392 0.97643928 0.98085181 0.97742645]],[[0.11277518 0.09839616 0.10054248 0.09938117]],nocorrosion
[[0.07195177 0.14595549 0.11798692 0.15663701]],[[0.05952585 0.11247214 0.09397302 0.11494655]],[[0.97144512 0.94698011 0.95534252 0.9464747 ]],[[0.46470586 0.45456196 0.45924534 0.45435313]],[[0.99597317 0.99183626 0.99339827 0.99123895]],[[0.21595154 0.20662657 0.21090628 0.20643676]],nocorrosion
[[0.76981373 1.64879281 1.21778222 1.71396487]],[[0.38394958 0.68585065 0.56067932 0.6821208 ]],[[0.84027037 0.73830652 0.77665903 0.74269963]],[[0.21402058 0.18536485 0.19837721 0.18564347]],[[0.9688142  0.93318945 0.95066788 0.93058224]],[[0.04580481 0.03436013 0.03935352 0.0344635 ]],nocorrosion
[[0.9135906  2.64258731 2.5862656  2.82118314]],[[0.40164589 0.78541575 0.78493181 0.84328658]],[[0.83871306 0.72913782 0.72838024 0.71138825]],[[0.23323792 0.20051069 0.20121616 0.19547156]],[[0.97819098 0.93670503 0.93810855 0.93245518]],[[0.05439993 0.04020454 0.04048794 0.03820913]],nocorrosion
[[1.38676769 2.55517433 1.52400955 2.55387644]],[[0.52597136 0.78555688 0.54956546 0.78445504]],[[0.80355075 0.73795859 0.80011011 0.73790839]],[[0.22509886 0.2083753  0.22528339 0.20847534]],[[0.94208088 0.89331893 0.93634923 0.89337168]],[[0.0506695  0.04342027 0.05075261 0.04346197]],nocorrosion
[[0.49460278 0.83141545 0.33257937 0.47156968]],[[0.24356123 0.32670522 0.20430556 0.26875149]],[[0.90022657 0.87706081 0.90991325 0.88444148]],[[0.62227269 0.61719699 0.61994591 0.61682446]],[[0.97866426 0.96419233 0.98566354 0.97969029]],[[0.3872233  0.38093212 0.38433293 0.38047242]],nocorrosion
[[0.21418732 0.26709682 0.19549564 0.31652384]],[[0.13628923 0.162373   0.12305885 0.16279867]],[[0.93859755 0.92753585 0.94453579 0.93025444]],[[0.33831738 0.33228784 0.34123335 0.33414237]],[[0.98925404 0.98660773 0.99019454 0.98412824]],[[0.11445865 0.11041521 0.1164402  0.11165112]],nocorrosion
[[0.03861035 0.1251905  0.11618382 0.12559156]],[[0.03861035 0.1251905  0.11618382 0.12559156]],[[0.98069483 0.93740475 0.94190809 0.93720422]],[[0.46400458 0.42939849 0.43190113 0.42916838]],[[0.98717716 0.95840002 0.96166492 0.95826691]],[[0.21530025 0.18438306 0.18653859 0.18418549]],nocorrosion
[[0.6156042  1.00221565 0.62108315 0.98126958]],[[0.2298784  0.30166101 0.22927836 0.29969927]],[[0.91665848 0.90159541 0.91726999 0.90161351]],[[0.79330864 0.79108247 0.7933876  0.79112271]],[[0.95609737 0.9285874  0.95572154 0.93007991]],[[0.62933861 0.62581148 0.62946388 0.62587514]],nocorrosion
[[0.44808662 0.74413398 0.52738021 0.90674749]],[[0.24908565 0.33801387 0.28759787 0.39221576]],[[0.8927304  0.86393048 0.8772755  0.84568067]],[[0.31239751 0.30315815 0.3049293  0.29603772]],[[0.98115051 0.96874549 0.97784214 0.96191439]],[[0.0975922  0.09190487 0.09298188 0.08763833]],nocorrosion
[[6.96809062 9.56805968 7.61714286 5.34769792]],[[1.80922181 1.94421272 1.86377622 1.57329349]],[[0.46102519 0.47519208 0.4596386  0.4916079 ]],[[0.1628927  0.16691921 0.16194727 0.16806836]],[[0.38525338 0.15383245 0.32567233 0.52706029]],[[0.02653403 0.02786202 0.02622692 0.02824698]],nocorrosion
[[1.37577154 1.98844305 1.7180401  2.51287537]],[[0.56143287 0.7287206  0.61923308 0.79556607]],[[0.78000467 0.72639356 0.7684757  0.71767337]],[[0.18108432 0.16591878 0.1783524  0.16351212]],[[0.95892799 0.94068212 0.94872626 0.92503848]],[[0.03279153 0.02752904 0.03180958 0.02673621]],nocorrosion
[[0.45816823 1.13325098 0.99221274 1.17332585]],[[0.32930737 0.57773535 0.5300964  0.59399214]],[[0.84730259 0.76005301 0.77627904 0.75380988]],[[0.2205811  0.19143719 0.19697426 0.18897944]],[[0.98253078 0.95670638 0.96209438 0.95517027]],[[0.04865602 0.0366482  0.03879886 0.03571323]],nocorrosion
[[0.13936846 0.25277187 0.19484444 0.25085262]],[[0.09874235 0.14527413 0.12222917 0.14956292]],[[0.95409126 0.93565177 0.94491895 0.93348632]],[[0.47426256 0.46381597 0.46970056 0.46191551]],[[0.98023107 0.96416271 0.97237159 0.96443477]],[[0.22492497 0.21512525 0.22061861 0.21336593]],nocorrosion
